MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
2902;53414;Gary Harvey;M;D;Raw;20;M-O;67.4;67.5;;;;;;;;;;;190;195;200;;200;200;1;154.39;159.02
2902;53414;Gary Harvey;M;D;Raw;20;M-JR;67.4;67.5;;;;;;;;;;;190;195;200;;200;200;1;154.39;159.02
87;3016;Gary Hatfield;M;SBD;Wraps;;M 55-59;104.6;110;240;255;-265;;255;172.5;180.5;185;190.5;185;210;227.5;-237.5;;227.5;667.5;1;399.40;399.40
2806;3016;Gary Hatfield;M;SBD;Wraps;;M 55-59;107.2;110;230;-245;-260;;230;175;185;191;;191;200;220;230;;230;651;1;386.27;386.27
8219;3016;Gary Hatfield;M;D;Multi-ply;;Masters 55-59;104.33;110;;;;;;;;;;;;;;;249.48;249.48;1;149.42;149.42
8290;3016;Gary Hatfield;M;BD;Raw;;Masters 55-59;108.64;110;;;;;;;;;;244.94;;;;;263.08;508.02;1;300.13;300.13
8027;101738;Gary Henry;M;SBD;Wraps;;Masters 50-54;120.11;125;;;;;340;;;;;245;;;;;280;865;1;497.20;497.20
6802;79537;Gary Heyman;M;SBD;Raw;;Masters 2;77.3;83;90;95;-97.5;;95;60;-70;-70;;60;120;125;132.5;;132.5;287.5;1;200.69;200.69
678;19738;Gary Holmen;M;SBD;Single-ply;;Open;96.9;100;;;;;230.0;;;;;125.0;;;;;252.5;607.5;1;374.59;374.59
3125;61283;Gary Hoxworth;M;BSD;Single-ply;;Open;67.5;67.5;;;;;197.31;;;;;127.01;;;;;247.21;571.53;6;440.66;440.66
158;6830;Gary Huff;M;B;Raw;;APF Masters (45-49);138.8;140;;;;;;;;;;170.1;;;;;;170.1;1;95.18;95.18
28;1007;Gary Hunnicutt;M;SBD;Single-ply;;Open;51.6;52;160;170;175;;175;110;115;-120;;115;162.5;170;-172.5;;170;460;1;455.07;455.07
29;1007;Gary Hunnicutt;M;SBD;Single-ply;;Open;55.9;56;170;185;190;;190;117.5;122.5;127.5;;127.5;170;-185;-185;;170;487.5;3;444.57;444.57
3125;61286;Gary Hunter;M;BSD;Single-ply;;Open;67.5;67.5;;;;;;-136.08;-136.08;-136.08;;;;;;;;;DQ;;
3126;61286;Gary Hunter;M;SBD;Single-ply;;Open;67.5;67.5;-217.72;217.72;-224.53;;217.72;-124.74;124.74;-290.3;;124.74;90.72;242.67;;;242.67;585.13;4;451.14;451.14
11273;61286;Gary Hunter;M;D;Raw;;R-O;58.5;60;;;;;;;;;;;;;;;200;200;1;174.62;174.62
