MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
12773;3794;Pedro Claro;M;B;Raw;47.5;M2;74.3;75;;;;;;120;125;127.5;;127.5;;;;;;127.5;2;91.45;91.45
10637;139878;Pedro Cruz;M;SBD;Raw;19.5;R-T3;80.6;83;-155;-165;-165;;;112.5;-115;120;;120;152.5;160;182.5;;182.5;;DQ;;
2748;46125;Pedro Daniel Gomez;M;SBD;Raw;29.5;Open;80.8;83;225;240;-250;;240;135;142.5;-147.5;;142.5;235;250;-257.5;;250;632.5;4;429.13;429.13
7609;89826;Pedro Diaz;M;SBD;Wraps;;Amateur Master 50-54;99.34;100;;;;;124.74;;;;;104.33;;;;;192.78;421.84;1;257.41;257.41
7641;89826;Pedro Diaz;M;D;Raw;;Elite Master;98.16;100;;;;;;;;;;;;;;;208.65;208.65;1;127.95;127.95
7658;89826;Pedro Diaz;M;SBD;Wraps;;Amateur Master 55-59;99.06;100;;;;;154.22;;;;;111.13;;;;;226.8;492.15;1;300.66;300.66
3758;68189;Pedro Dominicci;M;SBD;Single-ply;;Open;;110+;;;;;295;;;;;155;;;;;227.5;677.5;3;;
2723;45022;Pedro Escalona;M;B;Single-ply;22.5;Jun/Abs;96.3;100;;;;;;200;-207.5;-207.5;;200;;;;;;200;1;123.66;123.66
2726;45268;Pedro F.Santana;M;SBD;Single-ply;18.5;Jun;95.5;100;240;250;260;;260;150;-160;-160;;150;230;-240;240;;240;650;1;403.37;403.37
2746;46063;Pedro Fiestas;M;B;Raw;43.5;M1/Open;56.5;59;;;;;;95;-105;105;;105;;;;;;105;1;94.76;94.76
2752;46063;Pedro Fiestas;M;B;Raw;;M1;58;59;;;;;;100;105;-107.5;;105;;;;;;105;1;92.42;92.42
2756;46063;Pedro Fiestas;M;B;Raw;47.5;M1;57.8;59;;;;;;-102.5;102.5;107.5;;107.5;;;;;;107.5;1;94.93;94.93
